cancer,canonical_drug_id,ev_composite_0_10,graph_luad_caveat,mandatory_caveat,drug_name,canonical_smiles,score_clinical_trial,score_approved_ind,score_ext_response,ctrp_partial_evidence_flag,ctrp_partial_evidence_note,admet_tier,admet_risk_flag_count,hERG_risk,Ames_risk,DILI_risk,hepatotoxicity_risk,admet_tier_score,ev_norm,final_priority_score,final_recommendation_tier,admet_status_22assay,critical_pass_count_22,total_pass_count_22,rank,drug_level_score,final_rank_by_cancer,final_rank_overall,recommended_action,key_ev_evidence_summary,key_admet_risk_summary,external_response_unavailable_caveat,drug_repurposing_category,category_priority,category_rule,recommended_for_repurposing
stad,1030,3.0,False,,KU-55933,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,0,0,3,False,,C,2,moderate,low,high,low,0.4,0.4,0.4,Backup,WARNING,3,13,11,4.835127199052677,5,18,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=3,hERG=moderate | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
stad,2439,3.0,False,,glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,0,0,3,False,,C,1,low,high,low,low,0.4,0.4,0.4,Backup,WARNING,2,9,1,8.328967972449352,6,21,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=3,hERG=low | Ames=high | DILI=low,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
stad,1033,1.0,False,,Vismodegib,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,1,0,0,False,,C,1,low,low,high,low,0.4,0.2,0.27,Backup,WARNING,2,12,9,4.986135134075577,7,28,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=low | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
stad,1025,0.0,False,,SB216763,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,0,0,0,False,,C,1,low,low,high,low,0.4,0.1,0.205,Backup,WARNING,3,15,3,5.223351596342501,8,36,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=low | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
stad,1449,0.0,False,,AZD1208,NC1CCCN(c2c(/C=C3/SC(=O)NC3=O)cccc2-c2ccccc2)C1,0,0,0,False,,C,3,moderate,moderate,high,low,0.4,0.1,0.205,Backup,WARNING,2,16,8,5.032190646645942,9,37,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=moderate | Ames=moderate | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
stad,1013,1.0,False,,Nilotinib,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,1,0,0,False,,D,3,high,low,high,moderate,0.1,0.2,0.165,Hold,WARNING,3,15,23,-1000000000.0,10,41,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
stad,1549,1.0,False,,Sapitinib,CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,1,0,0,False,,D,3,high,low,high,high,0.1,0.2,0.165,Hold,WARNING,3,17,19,-1000000000.0,11,43,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
stad,1918,1.0,False,,AZD8186,C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,1,0,0,False,,D,3,high,low,high,moderate,0.1,0.2,0.165,Hold,WARNING,3,12,25,-1000000000.0,12,47,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
stad,1038,0.0,False,,NU7441,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC5=C4SC6=CC=CC=C56,0,0,0,False,,D,3,moderate,high,high,low,0.1,0.1,0.1,Hold,PASS,4,14,27,-1000000000.0,13,48,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=moderate | Ames=high | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
stad,1249,0.0,False,,BMS-345541,Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1,0,0,0,False,,D,4,high,high,high,moderate,0.1,0.1,0.1,Hold,PASS,4,14,20,-1000000000.0,14,51,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=high | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
stad,1852,0.0,False,,LY2109761,C1CC2=C(C(=NN2C1)C3=CC=CC=N3)C4=C5C=CC(=CC5=NC=C4)OCCN6CCOCC6,0,0,0,False,,D,4,high,moderate,high,high,0.1,0.1,0.1,Hold,WARNING,2,12,4,5.179750528835374,15,55,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=moderate | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
